Item,Date,Current,Comment,Qty,Type
YT440499-803,10/18/2021,4.0,GE  13978.00,,
YT440499-803,10/25/2021,4.0,GE  13978.00,,
YT440499-803,11/22/2021,4.0,GE  13978.00,,
YT442114-AQ-816,8/17/2021,2.0,CAT 930.00,,
YT442114-AQ-816,10/5/2021,1.0,CAT 930.00,,
YT442114-AQ-816,11/2/2021,2.0,CAT 930.00,,
YT442183-815,8/9/2021,1.0,GE 29068.00,,
YT442183-815,9/13/2021,3.0,GE 29068.00,,
YT442183-815,9/20/2021,3.0,GE 29068.00,,
YT442183-815,9/27/2021,3.0,GE 29068.00,,
YT442183-815,10/4/2021,4.0,GE 29068.00,,
YT442183-815,10/11/2021,3.0,GE 29068.00,,
YT442183-815,10/18/2021,2.0,GE 29068.00,,
YT442183-815,10/25/2021,3.0,GE 29068.00,,
YT442183-815,11/1/2021,3.0,GE 29068.00,,
YT442184-815,8/2/2021,1.0,GE 22004.00,,
YT442184-815,8/30/2021,2.0,GE 22004.00,,
YT442184-815,9/3/2021,3.0,GE 22004.00,,
YT442184-815,9/13/2021,1.0,GE 22004.00,,
YT442184-815,9/20/2021,3.0,GE 22004.00,,
YT442184-815,9/27/2021,2.0,GE 22004.00,,
YT442184-815,10/4/2021,3.0,GE 22004.00,,
YT442184-815,10/11/2021,3.0,GE 22004.00,,
YT442184-815,10/18/2021,1.0,GE 22004.00,,
YT442184-815,10/25/2021,3.0,GE 22004.00,,
YT442184-815,11/1/2021,3.0,GE 22004.00,,
YT442954-811,5/28/2021,2.0,CAT 14144.00,,
YT442954-811,6/29/2021,2.0,CAT 14144.00,,
YT442954-811,7/8/2021,2.0,CAT 14144.00,,
YT442954-811,7/30/2021,4.0,CAT 14144.00,,
YT442954-811,8/30/2021,4.0,CAT 14144.00,,
YT442954-811,9/29/2021,2.0,CAT 14144.00,,
YT442954-811,10/27/2021,2.0,CAT 14144.00,,
YT442954-811,11/19/2021,2.0,CAT 14144.00,,
YT442954-811,11/30/2021,2.0,CAT 14144.00,,
YT443000-815,8/9/2021,1.0,GE 11010.00,,
YT443000-815,9/13/2021,3.0,GE 11010.00,,
YT443000-815,9/20/2021,3.0,GE 11010.00,,
YT443000-815,9/27/2021,3.0,GE 11010.00,,
YT443000-815,10/4/2021,4.0,GE 11010.00,,
YT443000-815,10/11/2021,3.0,GE 11010.00,,
YT443000-815,10/18/2021,2.0,GE 11010.00,,
YT443000-815,10/25/2021,3.0,GE 11010.00,,
YT443000-815,11/1/2021,3.0,GE 11010.00,,
YT443001-815,8/9/2021,1.0,GE 10874.00,,
YT443001-815,9/13/2021,3.0,GE 10874.00,,
YT443001-815,9/20/2021,3.0,GE 10874.00,,
YT443001-815,9/27/2021,3.0,GE 10874.00,,
YT443001-815,10/4/2021,4.0,GE 10874.00,,
YT443001-815,10/11/2021,3.0,GE 10874.00,,
YT443001-815,10/18/2021,2.0,GE 10874.00,,
YT443001-815,10/25/2021,3.0,GE 10874.00,,
YT443001-815,11/1/2021,3.0,GE 10874.00,,
YT443658-803,4/6/2021,7.0,CAT 12297.00,,
YT443658-803,4/13/2021,6.0,CAT 12297.00,,
YT443658-803,4/27/2021,2.0,CAT 12297.00,,
YT443658-803,5/4/2021,8.0,CAT 12297.00,,
YT443658-803,5/18/2021,2.0,CAT 12297.00,,
YT443658-803,6/1/2021,2.0,CAT 12297.00,,
YT443658-803,6/8/2021,7.0,CAT 12297.00,,
YT443658-803,6/22/2021,2.0,CAT 12297.00,,
YT443658-803,7/6/2021,11.0,CAT 12297.00,,
YT443658-803,7/13/2021,1.0,CAT 12297.00,,
YT443658-803,7/27/2021,3.0,CAT 12297.00,,
YT443658-803,8/3/2021,4.0,CAT 12297.00,,
YT443658-803,8/10/2021,7.0,CAT 12297.00,,
YT443658-803,8/17/2021,1.0,CAT 12297.00,,
YT443658-803,8/24/2021,7.0,CAT 12297.00,,
YT443658-803,8/31/2021,1.0,CAT 12297.00,,
YT443658-803,9/7/2021,8.0,CAT 12297.00,,
YT443658-803,9/28/2021,3.0,CAT 12297.00,,
YT443658-803,10/5/2021,11.0,CAT 12297.00,,
YT443658-803,10/12/2021,2.0,CAT 12297.00,,
