Item,Date,Qty,Customer,PC,Price,Extended Price,Org,Type
YT425056,25-AUG-20,15.0,CATERPILLAR INC,1,605.00,"9,075.00",LEX,SO
YT425056,08-SEP-20,3.0,CATERPILLAR INC,1,605.00,"1,815.00",LEX,SO
YT425056,15-SEP-20,3.0,CATERPILLAR INC,1,605.00,"1,815.00",LEX,SO
YT425131,28-AUG-20,4.0,DEHN ENGINEERING SALES CO,1,"2,401.88","9,607.52",LEX,SO
YT427661-002,08-SEP-20,15.0,PROGRESS RAIL SERVICES CORP,6,"2,273.00","38,745.00",LEX,SO
YT427661-002,29-SEP-20,22.0,PROGRESS RAIL SERVICES CORP,6,"2,273.00","56,826.00",LEX,SO
YT427744,08-DEC-20,1.0,KOMATSU MINING,5,"2,247.00","2,247.00",LEX,SO
YT427744,10-DEC-20,1.0,KOMATSU MINING,5,"2,247.00","2,247.00",LEX,SO
YT427744,11-DEC-20,1.0,KOMATSU MINING,5,"2,247.00","2,247.00",LEX,SO
YT427744,15-DEC-20,2.0,KOMATSU MINING,5,"2,247.00","4,494.00",LEX,SO
YT427744,28-DEC-20,6.0,KOMATSU MINING,5,"2,247.00","13,482.00",LEX,SO
YT427808,25-SEP-20,1.0,KOHLER CO,5,"16,720.00","16,720.00",LEX,SO
YT427808,02-OCT-20,1.0,KOHLER CO,5,"16,720.00","16,720.00",LEX,SO
YT427808,05-OCT-20,1.0,KOHLER CO,5,"16,720.00","16,720.00",LEX,SO
YT427809,04-SEP-20,1.0,KOHLER CO,5,"18,323.00","18,323.00",LEX,SO
YT427810,11-SEP-20,1.0,KOHLER CO,5,"20,365.00","20,365.00",LEX,SO
YT427810,25-SEP-20,3.0,KOHLER CO,5,"20,365.00","61,095.00",LEX,SO
YT427810,30-SEP-20,2.0,KOHLER CO,5,"20,365.00","40,730.00",LEX,SO
YT427810,08-OCT-20,1.0,KOHLER CO,5,"20,365.00","20,365.00",LEX,SO
YT427810,09-OCT-20,1.0,KOHLER CO,5,"20,365.00","20,365.00",LEX,SO
YT427811,03-SEP-20,2.0,KOHLER CO,5,"25,281.00","50,562.00",LEX,SO
YT427811,04-SEP-20,3.0,KOHLER CO,5,"25,281.00","75,843.00",LEX,SO
YT427820,11-SEP-20,2.0,KOHLER CO,5,"14,690.00","29,380.00",LEX,SO
YT427820,02-OCT-20,1.0,KOHLER CO,5,"14,690.00","14,690.00",LEX,SO
YT427820,08-OCT-20,1.0,KOHLER CO,5,"14,690.00","14,690.00",LEX,SO
YT429710,22-SEP-20,1.0,CATERPILLAR INC,5,"23,156.00","23,156.00",LEX,SO
YT429710,20-OCT-20,1.0,CATERPILLAR INC,5,"23,156.00","23,156.00",LEX,SO
YT431205,28-AUG-20,10.0,AWC MANUFACTURING INC.,5,"4,294.00","42,940.00",LEX,SO
YT431205,23-NOV-20,16.0,AWC MANUFACTURING INC.,5,"4,294.00","68,704.00",LEX,SO
YT431242,27-AUG-20,1.0,CATERPILLAR INC,4,"43,934.00","49,189.00",LEX,SO
YT431253,28-SEP-20,1.0,CATERPILLAR INC,5,"24,654.00","28,382.52",LEX,SO
YT431253,29-SEP-20,1.0,CATERPILLAR INC,5,"24,654.00","28,382.52",LEX,SO
YT431254,25-AUG-20,1.0,CATERPILLAR INC,5,"28,694.00","33,113.15",LEX,SO
YT431254,26-AUG-20,1.0,CATERPILLAR INC,5,"28,694.00","33,113.15",LEX,SO
YT431254,27-AUG-20,1.0,CATERPILLAR INC,5,"28,694.00","33,113.15",LEX,SO
YT431254,31-AUG-20,1.0,CATERPILLAR INC,5,"28,694.00","33,113.15",LEX,SO
YT431254,01-SEP-20,1.0,CATERPILLAR INC,5,"28,694.00","33,113.15",LEX,SO
YT431254,10-SEP-20,1.0,CATERPILLAR INC,5,"28,694.00","33,113.15",LEX,SO
YT431254,17-SEP-20,1.0,CATERPILLAR INC,5,"28,694.00","33,113.15",LEX,SO
YT431254,22-OCT-20,1.0,CATERPILLAR INC,5,"28,694.00","33,113.15",LEX,SO
YT431254,30-OCT-20,1.0,CATERPILLAR INC,5,"28,694.00","33,113.15",LEX,SO
YT431254,14-DEC-20,1.0,CATERPILLAR INC,5,"28,694.00","33,113.15",LEX,SO
YT431254,15-DEC-20,1.0,CATERPILLAR INC,5,"28,694.00","33,113.15",LEX,SO
YT431321-803,28-AUG-20,2.0,PROGRESS RAIL LOCOMOTIVE INC.,5,"6,190.00","12,380.00",LEX,SO
YT431321-803,25-SEP-20,5.0,PROGRESS RAIL LOCOMOTIVE INC.,5,"3,800.00","20,335.00",LEX,SO
YT431331,28-AUG-20,2.0,CATERPILLAR INC,1,505.00,"1,010.00",LEX,SO
YT431331,15-SEP-20,3.0,CATERPILLAR INC,1,505.00,"1,515.00",LEX,SO
YT431331,13-OCT-20,2.0,CATERPILLAR INC,1,505.00,"1,010.00",LEX,SO
YT431355-901,14-AUG-20,1.0,SOLAR TURBINES INC,3,"24,740.00","24,740.00",LEX,SO
YT431355-901,25-SEP-20,1.0,SOLAR TURBINES INC,3,"24,740.00","24,740.00",LEX,SO
YT432927-04.50,16-OCT-20,100.0,WABTEC BRASIL FABRICAÌO E MANUTENÌO DE EQUIPAMENTOS LTDA.,FS,1.32,132.00,LEX,SO
YT432927-08.00,28-AUG-20,1.0,WABTEC BRASIL FABRICAÌO E MANUTENÌO DE EQUIPAMENTOS LTDA.,FS,2.41,2.41,LEX,SO
YT432927-08.00,18-SEP-20,100.0,WABTEC BRASIL FABRICAÌO E MANUTENÌO DE EQUIPAMENTOS LTDA.,FS,2.41,241.00,LEX,SO
YT433031,28-AUG-20,2.0,YOUNG TOUCHSTONE (LEX),PC,0.00,0.00,LEX,SO
YT434966,16-OCT-20,1.0,CATERPILLAR INC,4,"56,201.00","62,901.00",LEX,SO
YT434966,19-OCT-20,1.0,CATERPILLAR INC,4,"56,201.00","62,901.00",LEX,SO
YT434966,20-OCT-20,1.0,CATERPILLAR INC,4,"56,201.00","62,901.00",LEX,SO
YT434966,16-DEC-20,1.0,CATERPILLAR INC,4,"56,201.00","62,901.00",LEX,SO
YT435053,25-AUG-20,1.0,CATERPILLAR INC,5,"21,998.00","25,843.52",LEX,SO
YT435053,28-AUG-20,1.0,CATERPILLAR INC,5,"21,998.00","25,843.52",LEX,SO
