Item,Item Description,Planner,Order Type,Order#,Ln#,Ordered Date,Line Creation Date,Line Update Date,Request Date,Schedule Date,Promise Date,Open Qty,Price,Extended Price,Item Cost ,Material Cost,Material OH Cost,Resource Cost,Overhead Cost,OSP Cost,Customer Name,Address Line 1,Address Line 2,Address Line 3,Address Line 4
YT05001-058.75,O-RING .139 EPDM,DU,YTS-DOMESTIC,561828,1,05-AUG-20,31-JUL-20,05-AUG-20,08-OCT-20,02-OCT-20,02-OCT-20,22,10.00,220.00,3.80,3.80,,,,,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",
YT05627-144,SHEAVE BROWNING 5R5V90,SF,YTS-DOMESTIC,558902,18,12-NOV-19,07-JUL-20,07-JUL-20,26-AUG-20,26-AUG-20,26-AUG-20,3,301.00,903.00,142.04,142.04,,,,,CATERPILLAR INC,1627 VETERANS MEMORIAL PARKWAY EAST,DOCK 57,"Lafayette,IN 47905 - US",
YT05627-144,SHEAVE BROWNING 5R5V90,SF,YTS-DOMESTIC,558902,19,12-NOV-19,14-JUL-20,14-JUL-20,01-SEP-20,01-SEP-20,01-SEP-20,5,301.00,"1,505.00",142.04,142.04,,,,,CATERPILLAR INC,1627 VETERANS MEMORIAL PARKWAY EAST,DOCK 57,"Lafayette,IN 47905 - US",
YT05627-144,SHEAVE BROWNING 5R5V90,SF,YTS-DOMESTIC,558902,20,12-NOV-19,14-JUL-20,14-JUL-20,07-SEP-20,05-SEP-20,07-SEP-20,7,301.00,"2,107.00",142.04,142.04,,,,,CATERPILLAR INC,1627 VETERANS MEMORIAL PARKWAY EAST,DOCK 57,"Lafayette,IN 47905 - US",
YT05627-144,SHEAVE BROWNING 5R5V90,SF,YTS-DOMESTIC,558902,21,12-NOV-19,22-JUL-20,22-JUL-20,14-SEP-20,14-SEP-20,14-SEP-20,2,301.00,602.00,142.04,142.04,,,,,CATERPILLAR INC,1627 VETERANS MEMORIAL PARKWAY EAST,DOCK 57,"Lafayette,IN 47905 - US",
YT05627-144,SHEAVE BROWNING 5R5V90,SF,YTS-DOMESTIC,558902,22,12-NOV-19,28-JUL-20,30-JUL-20,25-SEP-20,25-SEP-20,25-SEP-20,6,301.00,"1,806.00",142.04,142.04,,,,,CATERPILLAR INC,1627 VETERANS MEMORIAL PARKWAY EAST,DOCK 57,"Lafayette,IN 47905 - US",
YT05627-144,SHEAVE BROWNING 5R5V90,SF,YTS-PARTS-DOMESTIC,561585,2,01-JUL-20,07-JUL-20,09-JUL-20,13-OCT-20,13-OCT-20,13-OCT-20,2,301.00,602.00,142.04,142.04,,,,,CATERPILLAR INC,C/O SC2 AIRPORT - DT4752,6409 W. SMITHVILLE RD,"BARTONVILLE,IL 61607 - US",
YT05627-266,SHEAVE BROWNING 6R5V109,SF,YTS-DOMESTIC,558785,64,31-OCT-19,22-JUN-20,30-JUN-20,25-AUG-20,25-AUG-20,25-AUG-20,3,387.00,"1,161.00",200.43,200.43,,,,,CATERPILLAR INC,1627 VETERANS MEMORIAL PARKWAY EAST,DOCK 57,"Lafayette,IN 47905 - US",
YT05627-266,SHEAVE BROWNING 6R5V109,SF,YTS-DOMESTIC,558785,65,31-OCT-19,22-JUL-20,22-JUL-20,11-SEP-20,11-SEP-20,11-SEP-20,2,387.00,774.00,200.43,200.43,,,,,CATERPILLAR INC,1627 VETERANS MEMORIAL PARKWAY EAST,DOCK 57,"Lafayette,IN 47905 - US",
YT05627-266,SHEAVE BROWNING 6R5V109,SF,YTS-DOMESTIC,558785,66,31-OCT-19,28-JUL-20,28-JUL-20,30-SEP-20,30-SEP-20,30-SEP-20,1,387.00,387.00,200.43,200.43,,,,,CATERPILLAR INC,1627 VETERANS MEMORIAL PARKWAY EAST,DOCK 57,"Lafayette,IN 47905 - US",
YT05627-76,SHEAVE BROWNING 5R5V103 - DODGE 469200,SF,YTS-DOMESTIC,558906,11,12-NOV-19,18-MAY-20,28-JUL-20,11-SEP-20,11-SEP-20,11-SEP-20,2,254.00,508.00,103.50,103.50,,,,,CATERPILLAR INC,1627 VETERANS MEMORIAL PARKWAY EAST,DOCK 57,"Lafayette,IN 47905 - US",
YT05627-76,SHEAVE BROWNING 5R5V103 - DODGE 469200,SF,YTS-DOMESTIC,558906,12,12-NOV-19,28-JUL-20,21-AUG-20,28-SEP-20,28-SEP-20,28-SEP-20,2,254.00,508.00,103.50,103.50,,,,,CATERPILLAR INC,1627 VETERANS MEMORIAL PARKWAY EAST,DOCK 57,"Lafayette,IN 47905 - US",
YT05627-76,SHEAVE BROWNING 5R5V103 - DODGE 469200,SF,YTS-DOMESTIC,558906,13,12-NOV-19,28-JUL-20,18-AUG-20,27-OCT-20,27-OCT-20,27-OCT-20,3,254.00,762.00,103.50,103.50,,,,,CATERPILLAR INC,1627 VETERANS MEMORIAL PARKWAY EAST,DOCK 57,"Lafayette,IN 47905 - US",
YT05629-23,BUSHING BROWNING R1 - 2-3/16 - DODGE 471741,SF,YTS-PARTS-DOMESTIC,561634,1,07-JUL-20,07-JUL-20,07-JUL-20,25-AUG-20,25-AUG-20,25-AUG-20,4,72.00,288.00,32.31,32.31,,,,,CATERPILLAR INC,C/O SC2 AIRPORT - DT4752,6409 W. SMITHVILLE RD,"BARTONVILLE,IL 61607 - US",
YT05629-53,BUSHING BROWNING R1 2-3/4 - DODGE 471750,SF,YTS-DOMESTIC,558782,34,31-OCT-19,30-JUN-20,30-JUN-20,01-SEP-20,01-SEP-20,01-SEP-20,12,72.00,864.00,34.75,34.75,,,,,CATERPILLAR INC,1627 VETERANS MEMORIAL PARKWAY EAST,DOCK 57,"Lafayette,IN 47905 - US",
YT05629-53,BUSHING BROWNING R1 2-3/4 - DODGE 471750,SF,YTS-DOMESTIC,558782,35,31-OCT-19,14-JUL-20,22-JUL-20,11-SEP-20,11-SEP-20,11-SEP-20,8,72.00,576.00,34.75,34.75,,,,,CATERPILLAR INC,1627 VETERANS MEMORIAL PARKWAY EAST,DOCK 57,"Lafayette,IN 47905 - US",
YT05629-53,BUSHING BROWNING R1 2-3/4 - DODGE 471750,SF,YTS-DOMESTIC,558782,36,31-OCT-19,22-JUL-20,21-AUG-20,28-SEP-20,28-SEP-20,28-SEP-20,9,72.00,648.00,34.75,34.75,,,,,CATERPILLAR INC,1627 VETERANS MEMORIAL PARKWAY EAST,DOCK 57,"Lafayette,IN 47905 - US",
YT05633-49,BELT 5VX960,SF,YTS-DOMESTIC,561935,1,17-AUG-20,17-AUG-20,19-AUG-20,17-AUG-20,28-AUG-20,28-AUG-20,2,120.00,240.00,31.86,31.86,,,,,FOLEY EQUIPMENT COMPANY,1737 SW 42 ND STREET,"Topeka,KS 66609 - US",,
YT05634-03,3-7/16 PILLOW BLOCK BEARING,SF,YTS-PARTS-DOMESTIC,561849,1,04-AUG-20,04-AUG-20,04-AUG-20,22-SEP-20,22-SEP-20,22-SEP-20,2,542.00,"1,084.00",287.96,287.96,,,,,CATERPILLAR INC,C/O SC2 AIRPORT - DT4752,6409 W. SMITHVILLE RD,"BARTONVILLE,IL 61607 - US",
YT05634-04,1-11/16 PILLOW BLOCK BEARING,SF,YTS-PARTS-DOMESTIC,561960,1,20-AUG-20,20-AUG-20,20-AUG-20,08-SEP-20,08-SEP-20,08-SEP-20,2,216.00,432.00,98.29,98.29,,,,,CATERPILLAR INC,C/O SC2 AIRPORT - DT4752,6409 W. SMITHVILLE RD,"BARTONVILLE,IL 61607 - US",
YT065955-901,ZINC ANODE ASY- 1.000NPTF SQ HD 1.000 X 6.000,1,YTS-DOMESTIC,561741,1,21-JUL-20,21-JUL-20,23-JUL-20,08-SEP-20,04-SEP-20,04-SEP-20,4,38.00,152.00,9.60,9.46,,0.14,,,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",
YT07419,"OIL COOLER CORE ASY 18"" - WITH 1/2 TUBES",10,YTS-DOMESTIC,561788,1,27-JUL-20,27-JUL-20,28-JUL-20,17-SEP-20,02-OCT-20,02-OCT-20,1,"8,443.00","8,443.00","10,368.63","9,546.78",,151.46,670.39,,"WABTEC TRANSPORTATION SYSTEMS, LLC",901 Franklin Avenue,BUILDING 10-1,"Erie,PA 16531 - US",
YT07419,"OIL COOLER CORE ASY 18"" - WITH 1/2 TUBES",10,YTS-DOMESTIC,561789,1,27-JUL-20,27-JUL-20,28-JUL-20,10-SEP-20,02-OCT-20,02-OCT-20,1,"8,443.00","8,443.00","10,368.63","9,546.78",,151.46,670.39,,"WABTEC TRANSPORTATION SYSTEMS, LLC",901 Franklin Avenue,BUILDING 10-1,"Erie,PA 16531 - US",
YT07419,"OIL COOLER CORE ASY 18"" - WITH 1/2 TUBES",10,YTS-DOMESTIC,561786,1,27-JUL-20,27-JUL-20,14-AUG-20,24-SEP-20,07-OCT-20,07-OCT-20,2,"8,443.00","16,886.00","10,368.63","9,546.78",,151.46,670.39,,"WABTEC TRANSPORTATION SYSTEMS, LLC",901 Franklin Avenue,BUILDING 10-1,"Erie,PA 16531 - US",
YT07419,"OIL COOLER CORE ASY 18"" - WITH 1/2 TUBES",10,YTS-DOMESTIC,561785,1,27-JUL-20,27-JUL-20,28-JUL-20,05-OCT-20,07-OCT-20,07-OCT-20,1,"8,443.00","8,443.00","10,368.63","9,546.78",,151.46,670.39,,"WABTEC TRANSPORTATION SYSTEMS, LLC",901 Franklin Avenue,BUILDING 10-1,"Erie,PA 16531 - US",
YT07419,"OIL COOLER CORE ASY 18"" - WITH 1/2 TUBES",10,YTS-DOMESTIC,561784,1,27-JUL-20,27-JUL-20,28-JUL-20,08-OCT-20,07-OCT-20,07-OCT-20,1,"8,443.00","8,443.00","10,368.63","9,546.78",,151.46,670.39,,"WABTEC TRANSPORTATION SYSTEMS, LLC",901 Franklin Avenue,BUILDING 10-1,"Erie,PA 16531 - US",
YT07419,"OIL COOLER CORE ASY 18"" - WITH 1/2 TUBES",10,YTS-DOMESTIC,561787,1,27-JUL-20,27-JUL-20,28-JUL-20,24-SEP-20,07-OCT-20,07-OCT-20,1,"8,443.00","8,443.00","10,368.63","9,546.78",,151.46,670.39,,"WABTEC TRANSPORTATION SYSTEMS, LLC",901 Franklin Avenue,BUILDING 10-1,"Erie,PA 16531 - US",
YT07419,"OIL COOLER CORE ASY 18"" - WITH 1/2 TUBES",10,YTS-DOMESTIC,561783,1,27-JUL-20,27-JUL-20,28-JUL-20,13-OCT-20,09-OCT-20,09-OCT-20,1,"8,443.00","8,443.00","10,368.63","9,546.78",,151.46,670.39,,"WABTEC TRANSPORTATION SYSTEMS, LLC",901 Franklin Avenue,BUILDING 10-1,"Erie,PA 16531 - US",
YT07419,"OIL COOLER CORE ASY 18"" - WITH 1/2 TUBES",10,YTS-DOMESTIC,561249,1,21-MAY-20,21-MAY-20,03-JUN-20,12-OCT-20,09-OCT-20,09-OCT-20,1,"8,443.00","8,443.00","10,368.63","9,546.78",,151.46,670.39,,"WABTEC TRANSPORTATION SYSTEMS, LLC",6300 MUIRFIELD DRIVE,"HANOVER PARK,IL 60133-5462 - US",,
YT07419,"OIL COOLER CORE ASY 18"" - WITH 1/2 TUBES",10,YTS-DOMESTIC,561813,1,29-JUL-20,29-JUL-20,30-JUL-20,27-OCT-20,23-OCT-20,23-OCT-20,1,"8,443.00","8,443.00","10,368.63","9,546.78",,151.46,670.39,,"WABTEC TRANSPORTATION SYSTEMS, LLC",901 Franklin Avenue,BUILDING 10-1,"Erie,PA 16531 - US",
YT07579-22,0.62 ID TAPRD PLASTIC PLUG,PP,YTS-INTERNATIONAL,561911,1,13-AUG-20,13-AUG-20,13-AUG-20,17-DEC-20,16-OCT-20,16-OCT-20,500,0.36,180.00,0.16,0.16,,,,,WABTEC BRASIL FABRICA‚ÌO E MANUTEN‚ÌO DE EQUIPAMENTOS LTDA.,AV. GENERAL DAVID SARNOFF,"CIDADE INDUSTRIAL, 4600","CONTAGEM/MG, 32210-110 - BR",
YT07712-31,SHAFT 2.4375D 31.875L,KU,YTS-DOMESTIC,561859,2,05-AUG-20,12-AUG-20,13-AUG-20,09-NOV-20,06-NOV-20,06-NOV-20,1,288.00,288.00,107.75,107.75,,,,,CUMMINS ENGINE COMPANY,5800 Challenge Drive,"Memphis,TN 38115 - US",,
YT08218,15 PSI PRESSURE CAP 2.00 SUNDRAM W/DOG EARS-NITRILE GASKET,PC,YTS-PARTS-DOMESTIC,561804,1,28-JUL-20,28-JUL-20,30-JUL-20,15-SEP-20,15-SEP-20,15-SEP-20,63,16.00,"1,008.00",3.60,3.60,,,,,CATERPILLAR INC,C/O SC2 AIRPORT - DT4752,6409 W. SMITHVILLE RD,"BARTONVILLE,IL 61607 - US",
YT098983-901,GASKET ROUND - TS-9003 11.000 .062 F-800-2P,1,YTS-DOMESTIC,561930,1,17-AUG-20,17-AUG-20,18-AUG-20,21-SEP-20,14-SEP-20,14-SEP-20,30,30.00,900.00,31.32,3.67,,7.76,19.89,,INNIO WAUKESHA GAS ENGINES INC,8123 116TH STREET,SUITE 300,"Pleasant Prairie,WI 53158 - US",
YT143340-901,7 PSI PRESSURE CAP 2.00,1,YTS-DOMESTIC,561942,1,18-AUG-20,18-AUG-20,20-AUG-20,18-SEP-20,11-SEP-20,11-SEP-20,20,16.00,320.00,5.11,5.02,,0.09,,,KOHLER CO,KOHLER POWER SYSTMS BLDG 607,900 HIGHLAND DRIVE,"Kohler,WI 53044 - US",
YT146812-901,"CHAN BON FRONT - GRAY IRON RC1600-2P 6""FLG CONN",1,YTS-DOMESTIC,561765,1,23-JUL-20,23-JUL-20,28-JUL-20,08-OCT-20,30-OCT-20,30-OCT-20,4,"3,360.00","13,440.00","1,604.01","1,044.65",,28.89,70.47,460.00,OCEAN SHIPS INC,C/O HORIZON AIR FREIGHT,152-15 ROCKAWAY BLVD,"JAMAICA,NY 11434 - US",
YT170580-901,CAC ABT 1012 - 16.43 15.000,6,YTS-DOMESTIC,561576,1,30-JUN-20,21-AUG-20,21-AUG-20,02-SEP-20,28-AUG-20,28-AUG-20,1,"1,007.00","1,068.00",782.20,338.12,,81.65,362.43,,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",
YT170580-901,CAC ABT 1012 - 16.43 15.000,6,YTS-DOMESTIC,561576,1,30-JUN-20,30-JUN-20,21-AUG-20,02-SEP-20,28-AUG-20,28-AUG-20,1,"1,007.00","1,068.00",782.20,338.12,,81.65,362.43,,PROGRESS RAIL LOCOMOTIVE INC.,PROGRESS RAIL PARTS DC,16101 S. OUTER ROAD,"Belton,MO 64012 - US",
