Item,Bucket,Date,End Date,Number of Buckets,Current,Original,Total,Confidence(%),Project Number,,Task Number,Line,Comment,Forecast,[  ]
YT07419,Days,8/16/2021,,1,2,2,2,100,,,,,GE  8401.00,LEX-FCST,.
YT07419,Days,8/30/2021,,1,1,1,1,100,,,,,GE  8401.00,LEX-FCST,.
YT07419,Days,9/3/2021,,1,1,1,1,100,,,,,GE  8401.00,LEX-FCST,.
YT07419,Days,9/13/2021,,1,1,1,1,100,,,,,GE  8401.00,LEX-FCST,.
YT07419,Days,9/20/2021,,1,1,1,1,100,,,,,GE  8401.00,LEX-FCST,.
YT07419,Days,9/27/2021,,1,1,1,1,100,,,,,GE  8401.00,LEX-FCST,.
YT07419,Days,10/4/2021,,1,1,1,1,100,,,,,GE  8401.00,LEX-FCST,.
YT07419,Days,10/11/2021,,1,2,2,2,100,,,,,GE  8401.00,LEX-FCST,.
YT07419,Days,10/18/2021,,1,1,1,1,100,,,,,GE  8401.00,LEX-FCST,.
YT07419,Days,10/25/2021,,1,1,1,1,100,,,,,GE  8401.00,LEX-FCST,.
YT07419,Days,11/1/2021,,1,1,1,1,100,,,,,GE  8401.00,LEX-FCST,.
YT07712-43,Days,6/22/2021,,1,1,1,1,100,,,,,CAT 330.00,LEX-FCST,.
YT07712-43,Days,8/10/2021,,1,1,1,1,100,,,,,CAT 330.00,LEX-FCST,.
YT07712-43,Days,11/16/2021,,1,1,1,1,100,,,,,CAT 330.00,LEX-FCST,.
YT08218,Days,6/15/2021,,1,55,55,55,100,,,,,CAT 16.00,LEX-FCST,.
YT08218,Days,8/17/2021,,1,71,71,71,100,,,,,CAT 16.00,LEX-FCST,.
YT08218,Days,10/12/2021,,1,66,66,66,100,,,,,CAT 16.00,LEX-FCST,.
YT201438-901,Days,6/25/2021,,1,30,30,30,100,,,,,INN 15.00,LEX-FCST,.
YT212415-901,Days,5/27/2021,,1,1,1,1,100,,,,,PR 1565.00,LEX-FCST,.
YT212415-901,Days,6/29/2021,,1,1,1,1,100,,,,,PR 1565.00,LEX-FCST,.
YT212415-901,Days,7/29/2021,,1,1,1,1,100,,,,,PR 1565.00,LEX-FCST,.
YT212415-901,Days,8/30/2021,,1,1,1,1,100,,,,,PR 1565.00,LEX-FCST,.
YT212415-901,Days,9/29/2021,,1,1,1,1,100,,,,,PR 1565.00,LEX-FCST,.
YT212415-901,Days,10/28/2021,,1,1,1,1,100,,,,,PR 1565.00,LEX-FCST,.
YT212415-901,Days,11/29/2021,,1,1,1,1,100,,,,,PR 1565.00,LEX-FCST,.
YT224867-001,Days,4/19/2021,,1,0,9,0,100,,,,,PR 1521.00,LEX-FCST,.
YT231299,Days,5/7/2021,,1,6,6,6,100,,,,,PR 3870.00,LEX-FCST,.
YT231299,Days,6/7/2021,,1,5,5,5,100,,,,,PR 3870.00,LEX-FCST,.
